enc_input,dec_input
जनकपुर संप्रति नेपाल के जनकपुर अञ्चल और धनुषा जिले मे स्थित है.,जनकपुर संप्रति नेपाल के जनकपुर अञ्चल और धनुषा जिला मे स्थित है.
"महर्षि वाल्मीकि को "" श्रीराम "" के जीवन में घटित प्रत्येक घटनाओं का पूर्णरूपेण ज्ञान था.","महर्षि वाल्मीकि को "" श्रीराम "" के जीवन में घटित प्रत्येक घटना का पूर्णरूपेण ज्ञान था."
दक्षिण अमेरिका में बड़ी संख्या में अफ्रीकाई मूल के लोगों भी निवास करते हैं.,दक्षिण अमेरिका में बड़ी संख्या में अफ्रीकाई मूल के लोग भी निवास करते हैं.
जमुई बिहार के जमुई जिला का मुख्यालय है.,जमुई बिहार के जमुई जिले का मुख्यालय है.
"समस्तीपुर के उत्तर मे दरभंगा, पश्चिम मे मुजफ्फरपुर एवं वैशाली, तथा पूरब दिशा की ओर बेगूसराय एवं खगड़िया जिला है.","समस्तीपुर के उत्तर मे दरभंगा, पश्चिम मे मुजफ्फरपुर एवं वैशाली, तथा पूरब दिशा की ओर बेगूसराय एवं खगड़िया जिले है."
२००१ की जनगणना के अनुसार इस जिला की जनसंख्या.,२००१ की जनगणना के अनुसार इस जिले की जनसंख्या.
इसके ऊपर के स्थान में बर्फबारी भी होते रहती है.,इसके ऊपर के स्थानों में बर्फबारी भी होते रहती है.
प्रशासनिक इकाई के रूप में जिला का इतिहास.,प्रशासनिक इकाई के रूप में जिले का इतिहास.
गणेशपुर बस्ती जिला का एक छोटा सा गांव है.,गणेशपुर बस्ती जिले का एक छोटा सा गांव है.
उस समय इस पुस्तकालय में लगभग 4000 हाथ से लिखी गई पुस्तकों थीं.,उस समय इस पुस्तकालय में लगभग 4000 हाथ से लिखी गई पुस्तकें थीं.
व तीन साल 1969 71 का अंदर १५ हिट फिल्म में अभिनय करके बॉलीवुड का सुपरस्टार कहे जाने लगे.,व तीन साल 1969 71 के अंदर १५ हिट फिल्मों में अभिनय करके बॉलीवुड का सुपरस्टार कहे जाने लगे.
"अतीत में, खगोलविदों ने माना छल्ले ग्रह के साथ साथ बने जब अरबो वर्ष पहले ग्रह का गठन हुआ.","अतीत में, खगोलविदों ने माना छल्ले ग्रह के साथ साथ बने जब अरबो वर्षों पहले ग्रह का गठन हुआ."
अंतर्राष्ट्रीय कानून द्वारा केवल सुरक्षा परिषद के पांच स्थाई सदस्य की नाभिकीय योग्यताएं अनुमोदित हैं.,अंतर्राष्ट्रीय कानून द्वारा केवल सुरक्षा परिषद के पांच स्थाई सदस्यों की नाभिकीय योग्यताएं अनुमोदित हैं.
यह अल्मोड़ा जिला का मुख्यालय भी है.,यह अल्मोड़ा जिले का मुख्यालय भी है.
यह नगर दार्जिलिंग जिला का मुख्यालय है.,यह नगर दार्जिलिंग जिले का मुख्यालय है.
हाल की दिनों मे यहां की वातावरण ज्यादा पर्यटक और अव्यवस्थित शहरीकरण के कारण से कुछ बिगड़ रहा है.,हाल की दिनों मे यहां का वातावरण ज्यादा पर्यटकों और अव्यवस्थित शहरीकरण के कारण से कुछ बिगड़ रहा है.
कुछ एक मूक फिल्म में काम करने के बाद उन्होंने भारत की पहली बोलनेवाली फिल्म आलम आरा में मुख्य भूमिका निभाई.,कुछ एक मूक फिल्मों में काम करने के बाद उन्होंने भारत की पहली बोलनेवाली फिल्म आलम आरा में मुख्य भूमिका निभाई.
बस्ती जिला संत कबीर नगर जिला के पूर्व और गोण्डा के पश्चिम में स्थित है.,बस्ती जिला संत कबीर नगर जिले के पूर्व और गोण्डा के पश्चिम में स्थित है.
देवेन वर्मा हिन्दी फिल्म के एक प्रसिद्ध हास्य अभिनेता हैं.,देवेन वर्मा हिन्दी फिल्मों के एक प्रसिद्ध हास्य अभिनेता हैं.
पूर्वांचल उत्तर प्रदेश के सबसे पिछड़े क्षेत्र मे से एक के है.,पूर्वांचल उत्तर प्रदेश के सबसे पिछड़े क्षेत्रों मे से एक के है.
"2007 के बाद से, प्रतिवर्ष स्टेडियम एनएफएल के 1 नियमित सत्र मैच की मेजबानी की है.","2007 के बाद से, प्रतिवर्ष स्टेडियम एनएफएल के 1 नियमित सत्र मैचों की मेजबानी की है."
वह अलीगढ़ जिला के एक छोटे गाँव से थे.,वह अलीगढ़ जिले के एक छोटे गाँव से थे.
असित सेन हिन्दी फिल्म के एक प्रसिद्ध हास्य अभिनेता थे.,असित सेन हिन्दी फिल्मों के एक प्रसिद्ध हास्य अभिनेता थे.
अजमेर राजस्थान प्रान्त में अजमेर जिले एवं मुख्य नगर है.,अजमेर राजस्थान प्रान्त में अजमेर जिला एवं मुख्य नगर है.
इनका जन्म शाहजहाँपुर जिले के कुण्डरा गाँव में हुआ था.,इनका जन्म शाहजहाँपुर जिला के कुण्डरा गाँव में हुआ था.
इन्होने बालबालिकाओं के लिए इसप के कहानियां को नेपालभाषा में अनुवाद करके इसपं दयेकातःगु बाखं नामक पुस्तक प्रकाशित किया.,इन्होने बालबालिकाओं के लिए इसप के कहानियों को नेपालभाषा में अनुवाद करके इसपं दयेकातःगु बाखं नामक पुस्तक प्रकाशित किया.
"माले पर्यटकों के लिये बहुत आच्छी जगह है, यह चित्र लगभग पूरे माले को दर्षाता है.","माले पर्यटक के लिये बहुत आच्छी जगह है, यह चित्र लगभग पूरे माले को दर्षाता है."
"माले पर्यटक के लिये बहुत आच्छी जगह है, यह चित्र लगभग पूरे माले को दर्षाता है.","माले पर्यटकों के लिये बहुत आच्छी जगह है, यह चित्र लगभग पूरे माले को दर्षाता है."
"सभी अपने ढंग से अपने धर्मों, पंथों, त्योहारों, भाषा और पारिवारिक आचरणों का पालन करते हैं.","सभी अपने ढंग से अपने धर्मों, पंथों, त्योहारों, भाषाओं और पारिवारिक आचरणों का पालन करते हैं."
सन १९८० में नवम एशियाई खेलों के पहले यह मार्ग काफी चौङा कर दिया गया.,सन १९८० में नवम एशियाई खेल के पहले यह मार्ग काफी चौङा कर दिया गया.
इस लिपि का प्राचीनतम् नमूना दरभंगा जिले के कुशेश्वरस्थान के निकट तिलकेश्वरस्थान के शिव मन्दिर में है.,इस लिपि का प्राचीनतम् नमूना दरभंगा जिला के कुशेश्वरस्थान के निकट तिलकेश्वरस्थान के शिव मन्दिर में है.
इस किला के सौंदर्य को श्रृंखलाबद्ध रूप से बने द्वार और भी बढ़ाते हैं.,इस किले के सौंदर्य को श्रृंखलाबद्ध रूप से बने द्वार और भी बढ़ाते हैं.
सिधुं घाटी के लोग की भाषा एवं लीपि.,सिधुं घाटी के लोगों की भाषा एवं लीपि.
ताण्डूर  तेलुगू  रंगारेड्डी जिला का एक नगर है.,ताण्डूर  तेलुगू  रंगारेड्डी जिले का एक नगर है.
"सन १८२८ से सर जॉन मॅल्कॅम , सर माऊंट स्टुअर्ट एल्फिंस्टन, आर्थर मॅलेट, करणक, फ्रेरे और अनेक लोग ने भेट दी.","सन १८२८ से सर जॉन मॅल्कॅम , सर माऊंट स्टुअर्ट एल्फिंस्टन, आर्थर मॅलेट, करणक, फ्रेरे और अनेक लोगों ने भेट दी."
संज्ञा या सर्वनाम की विशेषता बताने वाले शब्द को विशेषण कहते हैं.,संज्ञा अथवा सर्वनाम की विशेषता बताने वाले शब्दों को विशेषण कहते हैं.
संज्ञा अथवा सर्वनाम की विशेषता बताने वाले शब्दों को विशेषण कहते हैं.,संज्ञा या सर्वनाम की विशेषता बताने वाले शब्द को विशेषण कहते हैं.
यह समझौते हो जाने पर बाल्कन राज्यों ने एक बहाना लेकर टर्की के विरुद्ध 17 अक्टूबर 1912 को युद्ध की घोषणा कर दी.,यह समझौता हो जाने पर बाल्कन राज्यों ने एक बहाना लेकर टर्की के विरुद्ध 17 अक्टूबर 1912 को युद्ध की घोषणा कर दी.
"बीबी के मकबरा का निर्माण मुगल बादशाह औरंग़ज़ेब के शहजा़दे आज़मशाह ने, अंतिम सत्रहवीं शताब्दी में करवाया था.","बीबी के मकबरे का निर्माण मुगल बादशाह औरंग़ज़ेब के शहजा़दे आज़मशाह ने, अंतिम सत्रहवीं शताब्दी में करवाया था."
यह नैनीताल जिला का मुख्यालय भी है.,यह नैनीताल जिले का मुख्यालय भी है.
सभी प्रकार के कम्पनों या तरंग के साथ अनुनाद की घटना जुड़ी हुई है.,सभी प्रकार के कम्पनों या तरंगों के साथ अनुनाद की घटना जुड़ी हुई है.
राहतगढ़ सागर जिले की एक तहसील है.,राहतगढ़ सागर जिला की एक तहसील है.
इसे आन्तरिक जिला का दर्जा प्राप्त है.,इसे आन्तरिक जिले का दर्जा प्राप्त है.
"बाढ जिला की जनसंख्या लगभग १६, ००, ००० तथा बाढ शहर की जनसंख्या लगभग १, २५, ००० है.","बाढ जिले की जनसंख्या लगभग १६, ००, ००० तथा बाढ शहर की जनसंख्या लगभग १, २५, ००० है."
यह ग्रंथ त्रिपिटक का तीन भाग में से एक है.,यह ग्रंथ त्रिपिटक के तीन भागों में से एक है.
यूरोप के दो देश का राष्ट्रीय पुष्प सफेद गुलाब और दूसरे देश का राष्ट्रीय पुष्प लाल गुलाब थे.,यूरोप के दो देशों का राष्ट्रीय पुष्प सफेद गुलाब और दूसरे देश का राष्ट्रीय पुष्प लाल गुलाब थे.
यदि जिला प्रशासन कोशिश करे तो भारत के प्रसिद्व पर्यटक स्थलों में ड़िंड़ौरी जिला का नाम भी शामिल हो सकता है.,यदि जिला प्रशासन कोशिश करे तो भारत के प्रसिद्व पर्यटक स्थलों में ड़िंड़ौरी जिले का नाम भी शामिल हो सकता है.
बाड़मेर जिले की चौहटन कस्बा में सूंईया महादेव का मेला भरता है जिसमे दूर दराज से भारी संख्या में लोग आते हैं.,बाड़मेर जिले के चौहटन कस्बे में सूंईया महादेव का मेला भरता है जिसमे दूर दराज से भारी संख्या में लोग आते हैं.
यह आन्ध्र प्रदेश के कृष्णा जिले में स्थित है.,यह आन्ध्र प्रदेश के कृष्णा जिला में स्थित है.
शनि साढ़े साती तीन हिस्से में होती है हर एक हिस्से लग भग २ वर्ष ६ माह का होता है.,शनि साढ़े साती तीन हिस्सों में होती है हर एक हिस्सा लग भग २ वर्ष ६ माह का होता है.
शनि साढ़े साती तीन हिस्से में होती है हर एक हिस्से लग भग २ वर्ष ६ माह का होता है.,शनि साढ़े साती तीन हिस्सों में होती है हर एक हिस्सा लग भग २ वर्ष ६ माह का होता है.
भारत के सभी राज्यों में इनकी जनसंख्या है.,भारत के सभी राज्य में इनकी जनसंख्या है.
भारत के सभी राज्य में इनकी जनसंख्या है.,भारत के सभी राज्यों में इनकी जनसंख्या है.
"दक्षिण मुंबई में कुलाबा कॉजवे पर एक लोकप्रिय रेस्तरां और बार, हमला का निशाना बनने वाली साइटों में से एक था.","दक्षिण मुंबई में कुलाबा कॉजवे पर एक लोकप्रिय रेस्तरां और बार, हमले का निशाना बनने वाली साइटों में से एक था."
यह शर्करा कार्बनिक पदार्थों में बहुतायत से पाये जाने वाला विशेष प्रकार का कवक है.,यह शर्करा कार्बनिक पदार्थ में बहुतायत से पाये जाने वाला विशेष प्रकार का कवक है.
ये हार्मोन चयापचय की दर और कई अन्य शारीरिक तंत्रों के विकास और उनके कार्य की दर को भी प्रभावित करते हैं.,ये हार्मोन चयापचय की दर और कई अन्य शारीरिक तंत्रों के विकास और उनके कार्यों की दर को भी प्रभावित करते हैं.
